Date,Actual,GRU_Pred
2025-07-01,1582.57275390625,1575.2817
2025-07-02,1586.2169189453125,1574.0598
2025-07-03,1594.293212890625,1577.0084
2025-07-04,1615.96142578125,1583.6129
2025-07-07,1602.4681396484375,1599.2847
2025-07-08,1613.9915771484375,1600.7344
2025-07-09,1609.0670166015625,1604.0367
2025-07-10,1591.43701171875,1603.7089
2025-07-11,1570.85205078125,1592.7965
2025-07-14,1546.623046875,1574.1503
2025-07-15,1561.6922607421875,1551.0552
2025-07-16,1583.6561279296875,1548.4789
2025-07-17,1559.6240234375,1564.4957
2025-07-18,1562.1846923828125,1562.1141
2025-07-21,1560.4119873046875,1557.327
2025-07-22,1547.2139892578125,1554.2753
2025-07-23,1550.7596435546875,1546.1122
2025-07-24,1529.0914306640625,1543.1368
2025-07-25,1492.84619140625,1531.2831
2025-07-28,1493.1417236328125,1503.7109
2025-07-29,1490.8763427734375,1488.0718
2025-07-30,1496.0965576171875,1483.1274
2025-07-31,1486.247314453125,1485.8629
2025-08-01,1447.4412841796875,1483.2573
2025-08-04,1458.177001953125,1459.4684
2025-08-05,1438.2816162109375,1449.3986
2025-08-06,1415.037353515625,1438.0751
2025-08-07,1415.234375,1419.6836
2025-08-08,1401.6424560546875,1409.4974
2025-08-11,1406.66552734375,1399.8109
2025-08-12,1402.62744140625,1397.6777
2025-08-13,1405.0897216796875,1396.3795
2025-08-14,1425.8714599609375,1396.9791
2025-08-18,1414.1510009765625,1408.4089
2025-08-19,1418.2877197265625,1410.4512
2025-08-20,1473.6402587890625,1410.8724
2025-08-21,1473.8372802734375,1440.0128
2025-08-22,1465.0714111328125,1461.2484
2025-08-25,1508.9989013671875,1463.6382
2025-08-26,1506.53662109375,1483.8947
2025-08-28,1477.4814453125,1497.0787
2025-08-29,1447.4412841796875,1485.1099
2025-09-01,1476.7921142578125,1457.5231
2025-09-02,1476.1025390625,1457.8427
2025-09-03,1456.798095703125,1464.9033
2025-09-04,1440.94091796875,1458.5895
2025-09-05,1422.8182373046875,1443.6499
2025-09-08,1411.2947998046875,1425.4009
2025-09-09,1481.6181640625,1410.2653
2025-09-10,1509.491455078125,1441.0187
2025-09-11,1486.9366455078125,1481.6427
2025-09-12,1502.596923828125,1489.6302
2025-09-15,1485.6563720703125,1493.2681
2025-09-16,1488.5126953125,1485.8735
2025-09-17,1499.4453125,1481.5634
2025-09-18,1517.370849609375,1486.6497
2025-09-19,1516.976806640625,1500.9
2025-09-22,1476.8905029296875,1509.1693
2025-09-23,1474.920654296875,1489.3402
2025-09-24,1472.0643310546875,1472.6918
2025-09-25,1462.4122314453125,1465.2804
2025-09-26,1427.053466796875,1458.823
2025-09-29,1420.060546875,1436.7887
2025-09-30,1420.060546875,1419.06
2025-10-01,1424.000244140625,1412.294
2025-10-03,1424.7880859375,1413.6909
2025-10-06,1453.744873046875,1416.3922
2025-10-07,1436.5086669921875,1432.9347
2025-10-08,1472.4583740234375,1435.0366
2025-10-09,1486.5428466796875,1451.0343
2025-10-10,1492.058349609375,1469.9574
2025-10-13,1470.6854248046875,1482.0504
2025-10-14,1467.435302734375,1474.3558
2025-10-15,1452.1690673828125,1464.5017
2025-10-16,1449.312744140625,1451.9437
2025-10-17,1419.37109375,1444.0679
2025-10-20,1438.87255859375,1425.6775
2025-10-21,1450.19921875,1424.7507
2025-10-23,1505.4532470703125,1434.869
2025-10-24,1502.4000244140625,1471.07
2025-10-27,1504.5,1492.6151
2025-10-28,1500.199951171875,1499.1781
2025-10-29,1510.4000244140625,1496.6829
2025-10-30,1493.800048828125,1499.4489
2025-10-31,1482.300048828125,1493.3323
2025-11-03,1485.5,1482.0099
2025-11-04,1467.9000244140625,1477.6439
2025-11-06,1466.699951171875,1468.0166
2025-11-07,1476.800048828125,1461.4425
2025-11-10,1513.5,1464.7317
2025-11-11,1530.300048828125,1488.2396
2025-11-12,1551.699951171875,1512.8287
2025-11-13,1541.800048828125,1535.313
2025-11-14,1502.800048828125,1539.5657
2025-11-17,1507.5999755859375,1515.6893
2025-11-18,1486.4000244140625,1501.5585
2025-11-19,1541.0999755859375,1486.9751
2025-11-20,1536.5,1509.6273
2025-11-21,1545.0,1526.572
2025-11-24,1548.0,1536.2488
2025-11-25,1530.5999755859375,1540.657
2025-11-26,1557.9000244140625,1532.0621
2025-11-27,1566.4000244140625,1540.269
2025-11-28,1560.0999755859375,1553.155
2025-12-01,1564.0,1556.0376
2025-12-02,1561.0,1556.8925
2025-12-03,1578.699951171875,1555.504
2025-12-04,1597.5999755859375,1564.2095
2025-12-05,1616.199951171875,1581.0471
2025-12-08,1610.800048828125,1600.442
2025-12-09,1599.0,1606.3373
2025-12-10,1584.800048828125,1598.9965
2025-12-11,1598.0,1585.2135
2025-12-12,1598.199951171875,1585.5371
2025-12-15,1606.800048828125,1589.4219
2025-12-16,1592.9000244140625,1596.2823
2025-12-17,1602.0,1592.1375
2025-12-18,1626.800048828125,1592.6425
2025-12-19,1638.699951171875,1608.1709
2025-12-22,1689.5999755859375,1625.0464
2025-12-23,1668.300048828125,1660.5406
2025-12-24,1663.4000244140625,1668.4772
2025-12-26,1656.0999755859375,1661.78
2025-12-29,1644.699951171875,1652.4182
2025-12-30,1621.5999755859375,1641.9802
